instancia	n	fo	bloco
C109	10	828.94	C
C208	3	588.32	C
C108	10	828.94	C
C207	3	588.29	C
C107	10	828.94	C
C206	3	588.49	C
C106	10	828.94	C
C205	3	588.88	C
C105	10	828.94	C
C204	3	590.60	C
C104	10	824.78	C
C203	3	591.17	C
C103	10	828.06	C
C202	3	591.56	C
C102	10	828.94	C
C201	3	591.56	C
C101	10	828.94	C
