"instance","one","two","four","eight","ten","twenty","thirty","forty","fifty","sixty"
"C109",115.237,106.594333333333,87.5273666666667,84.1341333333333,88.9494666666667,93.3623,91.8308666666667,96.0534,86.0227333333333,93.6038333333333
"C208",17.7066,18.9195666666667,12.5973333333333,7.79606666666667,8.62946666666667,5.53176666666667,3.11406666666667,4.0712,3.60866666666667,2.21413333333333
"R112",105.013433333333,131.5293,125.595433333333,155.659366666667,202.303433333333,278.039766666667,318.6837,300.6074,313.079733333333,420.949566666667
"R211",61.8001,76.7364333333333,85.2528,83.3132666666667,84.5029,123.912966666667,131.8284,113.591,145.395533333333,148.7974
"RC108",120.456966666667,129.4373,149.348166666667,156.765533333333,192.897333333333,236.2404,292.554566666667,265.114133333333,267.1402,340.6579
"RC208",61.9598,77.1326666666667,78.8105,82.4069,70.0599666666667,118.318533333333,125.6839,118.672166666667,126.877033333333,139.434166666667
"C108",33.9534666666667,30.7264,27.2238333333333,17.6108666666667,14.0564,12.6731666666667,12.8746333333333,12.8071666666667,12.2545,12.8745
"C207",16.1736,15.8261333333333,10.0100333333333,10.1831333333333,3.2822,3.52363333333333,2.84443333333333,2.67096666666667,2.43413333333333,2.50953333333333
"R111",120.030733333333,147.6291,198.508466666667,195.6271,229.133366666667,271.512866666667,300.501733333333,276.495033333333,285.946966666667,313.100133333333
"R210",78.4453,90.4076,73.3617666666667,100.577,80.3783,102.667533333333,113.554,121.4173,118.699666666667,125.570533333333
"RC107",216.815833333333,247.547666666667,193.3106,301.258933333333,223.459933333333,291.130466666667,278.1882,310.135166666667,313.917533333333,370.3473
"RC207",98.6522333333333,105.272166666667,85.3832666666667,105.585866666667,88.1349666666667,122.7042,112.208933333333,114.1961,125.199366666667,129.592033333333
"C107",12.9800666666667,7.56783333333333,5.07093333333333,4.1495,2.89086666666667,1.9556,2.69163333333333,2.3755,2.67046666666667,2.81896666666667
"C206",10.109,7.07783333333333,3.23233333333333,3.2817,2.3169,1.74676666666667,1.26313333333333,1.19956666666667,1.20366666666667,1.44046666666667
"R110",274.859833333333,303.816,244.144233333333,300.496233333333,276.673066666667,334.374233333333,352.2294,333.552933333333,354.836533333333,409.345033333333
"R209",75.7470333333333,93.7676666666667,88.0401333333333,104.1275,96.3346,114.331833333333,104.1751,108.333666666667,121.640533333333,135.887833333333
"RC106",252.934966666667,271.950466666667,228.790866666667,301.258933333333,265.9331,321.1173,310.349633333333,313.4127,337.661266666667,369.9863
"RC206",76.5726,90.5110333333333,68.4628333333333,82.7584,76.7028333333333,91.3072,90.4321666666667,98.1328666666667,98.4029333333333,103.318566666667
"C106",12.7150666666667,13.0987,13.5971,9.38563333333333,7.35426666666667,4.67486666666667,5.8391,4.19283333333333,6.55253333333333,5.33206666666667
"C205",9.80863333333333,4.78446666666667,2.89966666666667,1.79283333333333,2.13093333333333,1.09503333333333,1.0782,0.996066666666667,1.06213333333333,1.08336666666667
"R109",247.583633333333,293.716166666667,205.584233333333,274.708333333333,281.821766666667,340.7682,317.816966666667,288.0332,313.0656,393.872466666667
"R208",63.0825,72.9835,72.7612,75.2735666666667,76.6252666666667,98.5115,87.4282666666667,95.6854666666667,106.837566666667,109.778833333333
"RC105",288.644266666667,362.772666666667,272.309966666667,335.115633333333,332.6953,368.571966666667,356.521266666667,341.005933333333,387.012333333333,400.466833333333
"RC205",98.3889666666667,116.772533333333,112.3765,131.0466,118.1785,137.330733333333,128.0397,123.7525,135.7317,156.504366666667
"C105",12.8698333333333,17.2105333333333,11.0402,9.71143333333333,5.74746666666667,3.72743333333333,3.93986666666667,3.09476666666667,3.3566,4.75643333333333
"C204",66.0599333333333,86.3645333333333,82.6684,105.602433333333,82.7158333333333,97.7514666666667,109.488633333333,100.581366666667,108.8086,127.006
"R108",275.0323,321.441633333333,250.776166666667,331.693066666667,320.2055,381.3755,360.168633333333,322.494133333333,382.447366666667,409.628
"R207",115.8146,134.0075,111.2975,137.934266666667,106.715166666667,143.421766666667,134.4837,140.556433333333,150.533733333333,144.622466666667
"RC104",110.0792,133.069433333333,146.4091,168.438233333333,187.7995,246.8197,293.586933333333,271.483,334.4443,310.105133333333
"RC204",67.0007333333333,92.0338333333333,83.7397666666667,89.2406666666667,97.5563333333333,114.273933333333,122.3611,122.217333333333,131.776133333333,133.190033333333
"C104",143.231366666667,177.1959,178.749933333333,182.5965,213.499233333333,221.3492,267.606933333333,235.071066666667,256.5884,240.728866666667
"C203",22.7016333333333,30.3253,26.403,27.4143333333333,18.1009,18.8991333333333,16.5900666666667,17.4598,14.8607666666667,10.9250666666667
"R107",133.956566666667,153.324533333333,177.286433333333,190.663433333333,263.0586,290.514866666667,302.296133333333,311.727866666667,355.5821,355.574866666667
"R206",63.8195,73.1744,78.2157,81.2351666666667,84.0425,105.801133333333,121.325533333333,120.598833333333,128.8885,117.291566666667
"RC103",116.3762,140.126033333333,166.0407,154.854333333333,207.813633333333,260.542766666667,295.037666666667,304.235566666667,350.274566666667,292.833633333333
"RC203",57.0550666666667,65.1273,65.4529333333333,68.9835333333333,76.5495333333333,92.1924333333333,106.411766666667,109.873266666667,112.5851,113.118633333333
"C103",179.1191,165.3824,164.106866666667,169.854433333333,96.5838,92.8885,88.6638,92.3079666666667,80.5022,89.5082
"C202",11.4542666666667,9.9531,8.09276666666667,4.81153333333333,4.28736666666667,2.89503333333333,2.24703333333333,2.4823,2.55533333333333,1.60893333333333
"R106",336.008266666667,396.416166666667,300.660166666667,359.446666666667,326.340633333333,361.633266666667,336.696366666667,361.163566666667,357.453633333333,374.010833333333
"R205",56.5249,78.7813666666667,79.7473,86.6320333333333,74.3148,94.5808,99.6477666666667,97.5597333333333,108.9015,118.352333333333
"RC102",310.830033333333,363.3353,271.2612,337.456933333333,344.3289,330.814833333333,326.9799,328.198533333333,342.649466666667,396.2218
"RC202",99.2183,142.535366666667,111.6333,143.586966666667,120.583666666667,139.136533333333,142.312433333333,133.969066666667,136.656366666667,157.478433333333
"C102",79.8297333333333,81.8188666666667,56.7112,66.4626333333333,37.2653333333333,32.7177333333333,35.1960666666667,27.4588,30.3233666666667,34.4988333333333
"C201",1.97583333333333,0.864933333333333,0.580933333333333,0.5033,0.4655,0.539866666666667,0.5712,0.601233333333333,0.647633333333333,0.751066666666667
"R105",238.251066666667,307.182833333333,215.344733333333,294.935266666667,283.6845,313.1873,316.5178,316.660266666667,364.533133333333,377.999566666667
"R204",113.889866666667,126.915066666667,103.317666666667,128.7745,98.0958,115.8379,118.3387,118.0688,116.461666666667,131.5828
"RC101",263.160933333333,299.004333333333,245.901733333333,275.0467,255.0363,292.577066666667,279.705033333333,295.610166666667,318.307233333333,356.195133333333
"RC201",62.5154,77.7803666666667,89.3537333333333,100.918366666667,90.5789666666667,107.257566666667,100.6061,99.4685,113.769166666667,116.751333333333
"C101",17.1878333333333,13.8536666666667,9.8699,5.93243333333333,4.3326,2.81493333333333,2.89673333333333,2.37416666666667,2.34796666666667,2.98993333333333
"R104",241.110033333333,288.616,238.171033333333,282.2701,244.385066666667,307.049066666667,320.204166666667,291.639066666667,319.568866666667,387.617166666667
"R203",98.8433666666667,115.4667,100.888466666667,126.6887,96.7716,127.748233333333,125.130833333333,121.616433333333,134.928933333333,144.074566666667
"R103",459.685066666667,489.618866666667,367.4807,469.237766666667,428.8632,425.018333333333,444.923933333333,424.305666666667,454.3342,487.4443
"R202",127.865666666667,161.1224,134.277933333333,157.2911,142.467233333333,151.828266666667,148.845866666667,136.490766666667,152.059733333333,161.692333333333
"R102",509.0238,550.483233333333,433.387633333333,514.310833333333,537.498266666667,512.227,493.022233333333,522.399466666667,557.6227,601.281366666667
"R201",89.0630666666667,105.3744,96.5342666666667,118.708,106.681566666667,120.462033333333,119.195533333333,116.887066666667,122.719633333333,127.8367
"R101",405.3704,389.187433333333,307.892666666667,380.650733333333,317.4437,358.038933333333,340.5628,337.291766666667,360.269366666667,351.2644
