instance	machine	jobs	best
I_50_10_S_1-9_1	10	50	67
I_50_10_S_1-49_1	10	50	77
I_50_10_S_1-99_1	10	50	118
I_50_10_S_1-124_1	10	50	114
I_50_15_S_1-9_1	15	50	36
I_50_15_S_1-49_1	15	50	59
I_50_15_S_1-99_1	15	50	78
I_50_15_S_1-124_1	15	50	75
I_50_20_S_1-9_1	20	50	31
I_50_20_S_1-49_1	20	50	39
I_50_20_S_1-99_1	20	50	49
I_50_20_S_1-124_1	20	50	52
I_50_25_S_1-9_1	25	50	22
I_50_25_S_1-49_1	25	50	25
I_50_25_S_1-99_1	25	50	35
I_50_25_S_1-124_1	25	50	37
