"instance","one","two","four","eight","ten","twenty","thirty","forty","fifty","sixty"
"I_50_10_S_1-9_1",40.7286,46.1789666666667,43.6914666666667,49.1296333333333,44.4674,45.7327,47.6418,40.8557333333333,49.6520333333333,37.2674
"I_50_10_S_1-49_1",54.0663666666667,61.6905666666667,63.0398,67.0654,55.8861,73.5317,78.4214,84.8225333333333,62.0752666666667,90.9523666666667
"I_50_10_S_1-99_1",48.2881333333333,48.4313,45.5168,42.8570666666667,28.0671333333333,35.9054666666667,33.6756,31.6084666666667,29.4592666666667,29.2805666666667
"I_50_10_S_1-124_1",53.7939333333333,54.4199333333333,47.1703333333333,42.2456333333333,38.0100333333333,36.0981,33.9894,39.2300666666667,38.6595333333333,34.5990666666667
"I_50_15_S_1-9_1",48.7376,43.0524,48.4015666666667,41.2295,21.1093,21.9376,14.1681666666667,14.4869,10.4066333333333,12.9539666666667
"I_50_15_S_1-49_1",67.8900333333333,63.5172666666667,56.9551,41.8893,31.5287,36.2623,31.7198666666667,31.6142666666667,26.0213,29.6727333333333
"I_50_15_S_1-99_1",43.0468333333333,34.7797666666667,26.5544333333333,23.2709,19.8579666666667,20.7892,22.8442666666667,20.7760666666667,20.7195666666667,21.1687333333333
"I_50_15_S_1-124_1",82.8071666666667,89.2191333333333,79.9393,81.6381666666667,67.5662333333333,78.7753666666667,65.5384333333333,72.3908,62.0679666666667,65.6621
"I_50_20_S_1-9_1",70.2147333333333,70.8834,50.7256333333333,46.8595,22.5202333333333,16.5233333333333,12.4808666666667,10.2584,9.91476666666667,11.8852333333333
"I_50_20_S_1-49_1",101.487833333333,111.7991,78.4185666666667,84.3751666666667,54.7668666666667,54.1508333333333,44.2737666666667,42.8117,45.9026666666667,53.0057666666667
"I_50_20_S_1-99_1",93.0415333333333,72.4125333333333,69.6363,63.8432,42.0718333333333,36.7440333333333,33.791,38.6826666666667,33.2913666666667,30.4489666666667
"I_50_20_S_1-124_1",129.353033333333,132.719166666667,120.704666666667,126.719433333333,93.6153,103.4021,101.9193,103.803633333333,97.1668,105.510133333333
"I_50_25_S_1-9_1",9.19396666666667,0.8477,1.72123333333333,0.7469,0.8092,0.8166,1.0347,1.1655,1.38486666666667,1.2014
"I_50_25_S_1-49_1",146.840633333333,163.336,166.130666666667,158.338333333333,128.109166666667,129.448,125.373066666667,96.9731,168.1759,135.297166666667
"I_50_25_S_1-99_1",87.2900333333333,84.8519666666667,59.7617333333333,40.9929,31.0079666666667,20.5161666666667,20.2429,21.4832333333333,20.1644333333333,23.2225
"I_50_25_S_1-124_1",132.2896,131.801733333333,89.1695,106.283166666667,62.4559333333333,48.303,48.0270333333333,39.7813333333333,32.2456,36.3057333333333
